Fri. Sep. 18, 2020             LANDSAT 5                 Time: 19:21
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L2            Path/Row: 196 / 021

L0R Reference Image: L51KIS1084116090100_HDF.202180312
Acquisition Date: Apr 25, 1984

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
194   021   08-03-1999
195   021   05-08-2000, 07-23-2013
195   022   05-08-2000, 03-20-2014
196   020   05-15-2000, 03-11-2014
196   021   05-15-2000, 03-11-2014
196   022   05-15-2000, 03-11-2014
197   020   05-09-2001, 04-03-2014
197   021   05-09-2001, 04-06-2015


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1940210029_01   55.705184   11.715247    65.621      -2.542    -0.694    -2.305    -1.274
1940210039_01   55.331780   11.583858    77.170       3.622    -6.267     4.998    -5.230
1940210085_01   55.813564   11.886746    49.499      -7.318     4.439    -8.154     2.585
1940210236_01   55.738772   11.811394    36.888       2.347    -4.392     3.316    -3.713
1950210008_01   56.420033   10.864624    68.371       2.205    -3.978     3.077    -3.346
1950210011_01   55.400915   10.379948    70.271      -0.625    -0.811    -0.416    -0.935
1950210014_01   55.332987   11.144335    51.520       0.546     0.631     0.382     0.742
1950210026_01   55.952567   11.853732    72.090      -0.820    -3.545     0.039    -3.638
1950210059_01   56.304845   10.852749    41.593      -6.794     2.655    -7.225     0.981
1950210082_01   56.419912   10.865331    62.200       1.753     2.899     1.022     3.229
1950210094_01   55.705105   11.715334    75.860      -1.297    -1.456    -0.917    -1.721
1950210101_01   55.811006   11.579530    84.638       2.180     4.366     1.090     4.756
1950210117_01   56.316896   10.502196    33.450      -5.871    -1.975    -5.239    -3.300
1950210131_01   56.535438   10.713756    53.305       6.158    -1.694     6.382    -0.199
1950210144_01   55.483348   10.710049    62.739      -7.717    -1.494    -7.142    -3.275
1950210151_01   55.206859   11.416209    31.216       1.662     5.323     0.356     5.564
1950210159_01   55.406211   10.433691    47.989       1.694     0.060     1.631     0.458
