==============================================================================
==============================================================================
Fri. Sep. 18 2020                  LANDSAT 5                       Time: 19:22
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: L2                          Path / Row - 196 / 21
Reference Image: terrain_HDF.l1g

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 99.5%
Rank   2 --  0.5%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
1960210242   56.79472      9.27717     0.08      0.15     0.17     1 
1960210248   56.79364      9.58952     0.06      0.19     0.20     1 
1960210327   56.76607      9.79718     0.11     -0.43     0.44     1 
1960210328   56.76573      9.84920    -0.02      0.18     0.18     1 
1960210330   56.76497      9.95323    -0.07      0.24     0.25     1 
1960210404   56.73895      9.90058    -0.17      0.20     0.26     1 
1960210405   56.73857      9.95256    -0.04     -0.10     0.11     1 
1960210406   56.73816     10.00453    -0.06      0.10     0.12     1 
1960210408   56.73728     10.10848     0.12      0.14     0.19     1 
1960210410   56.73631     10.21242    -0.45      0.11     0.46     1 
1960210412   56.73526     10.31636     0.07      0.27     0.28     1 
1960210466   56.71559      9.22463    -0.00      0.11     0.11     1 
1960210481   56.71175     10.00383     0.07     -0.03     0.08     1 
1960210483   56.71087     10.10770    -0.10      0.07     0.13     1 
1960210484   56.71040     10.15964     0.01      0.04     0.04     1 
1960210485   56.70990     10.21157    -0.01     -0.04     0.04     1 
1960210487   56.70885     10.31543    -0.12     -0.23     0.26     1 
1960210541   56.68918      9.22448     0.02      0.07     0.07     1 
1960210556   56.68534     10.00313     0.21     -0.01     0.21     1 
1960210557   56.68491     10.05503     0.21     -0.12     0.25     1 
1960210558   56.68446     10.10693    -0.10     -0.21     0.24     1 
1960210559   56.68399     10.15883    -0.01      0.02     0.02     1 
1960210560   56.68350     10.21073     0.05     -0.25     0.25     1 
1960210615   56.66285      9.17244     0.09     -0.11     0.15     1 
1960210622   56.66181      9.53558     0.11      0.09     0.14     1 
1960210628   56.66009      9.84682     0.11      0.03     0.11     1 
1960210630   56.65934      9.95056     0.02     -0.03     0.04     1 
1960210631   56.65893     10.00243    -0.14      0.14     0.20     1 
1960210632   56.65850     10.05429    -0.08     -0.09     0.12     1 
1960210633   56.65805     10.10615    -0.08      0.38     0.39     1 
1960210635   56.65709     10.20988     0.23     -0.20     0.30     1 
1960210638   56.65548     10.36545    -0.41      0.02     0.41     1 
1960210691   56.63635      9.22416     0.10     -0.04     0.11     1 
1960210693   56.63612      9.32785    -0.01     -0.15     0.15     1 
1960210694   56.63598      9.37969    -0.11     -0.05     0.12     1 
1960210695   56.63581      9.43153    -0.06      0.22     0.23     1 
1960210697   56.63540      9.53521     0.10     -0.04     0.11     1 
1960210698   56.63517      9.58705     0.13      0.04     0.14     1 
1960210700   56.63464      9.69073     0.22      0.16     0.27     1 
1960210702   56.63402      9.79440     0.01      0.12     0.12     1 
1960210703   56.63368      9.84623     0.07      0.05     0.09     1 
1960210707   56.63209     10.05355     0.10      0.08     0.13     1 
1960210708   56.63165     10.10538     0.42      0.22     0.47     1 
1960210767   56.60983      9.27581    -0.01      0.20     0.20     1 
1960210769   56.60956      9.37942     0.00     -0.04     0.04     1 
1960210770   56.60939      9.43123     0.00     -0.04     0.04     1 
1960210772   56.60899      9.53484    -0.06      0.16     0.18     1 
1960210773   56.60876      9.58664    -0.06      0.04     0.07     1 
1960210781   56.60611     10.00103    -0.28      0.08     0.29     1 
1960210787   56.60323     10.31176     0.02      0.02     0.03     1 
1960210842   56.58342      9.27562    -0.11      0.12     0.17     1 
1960210845   56.58298      9.43093     0.07      0.11     0.13     1 
1960210846   56.58279      9.48270     0.10      0.15     0.18     1 
1960210849   56.58209      9.63800    -0.16      0.33     0.37     1 
1960210850   56.58181      9.68976    -0.31      0.16     0.34     1 
1960210857   56.57928     10.05208     0.23     -0.15     0.27     1 
1960210919   56.55674      9.37890    -0.22      0.07     0.23     1 
